componente;MAT;CURSO
918151;15400;
918152;17273;
918152;13550;
918153;17273;
918153;13550;
918154;19660;
918154;18817;
918155;18817;
918155;19660;
918156;15400;
918156;19660;
918157;15400;
918157;19660;
918158;19660;
918158;15400;
918159;19660;
918160;17273;
918160;13550;
918161;13550;
918161;16238;
918162;17273;
918162;13550;
918163;19660;
918164;19660;
918166;19660;
918166;18817;
919031;20014;
919032;11201;
919032;20014;
919034;17927;
919035;20014;
919035;11201;
919036;17927;
919038;20014;
919039;17927;
919041;20014;
919043;20014;
919045;11201;
919045;20014;
919046;11201;
919048;20014;
919049;20014;
919063;20014;
919065;17927;
919066;11201;
919072;17927;
919073;17927;
919076;10320;
919076;11201;
919076;17927;
919077;15921;
919078;28395;
919078;20014;
919078;17927;
919078;11201;
919079;28395;
919079;20014;
919079;11201;
919080;28395;
919080;20014;
919080;11201;
919081;28395;
919081;20014;
919082;13550;
919082;18817;
919083;20014;
919083;11201;
919083;17927;
919084;20014;
919084;11201;
919084;17927;
919085;20014;
919085;11201;
919085;17927;
919087;28395;
919087;20014;
919088;28395;
919088;20014;
919089;17927;
919089;11201;
919090;17927;
919090;11201;
919091;20014;
919091;11201;
919092;11201;
919093;20014;
919093;13690;
919094;17927;
919095;10320;
919095;17927;
919096;11201;
919097;17927;
919097;11201;
919098;17927;
919098;11201;
919099;20014;
919100;20014;
919101;11201;
919101;20014;
919101;17927;
919102;11201;
919102;20014;
919103;11201;
919103;20014;
919104;10320;
919104;17927;
919105;10320;
919105;17927;
919106;20014;
919107;20014;
919108;20014;
919109;17927;
919111;20014;
919112;20014;
924000;23709;
924000;9453;
925063;17719;
925064;17719;
925070;28516;
925070;19660;
925094;28516;
925094;17719;
925094;19660;
925094;8212;
925095;12719;
925095;21372;
925095;10482;
925095;5324;
925096;28516;
925096;17719;
925096;12719;
925097;28516;
925097;19660;
925097;8212;
925098;28516;
925098;19660;
925099;28516;
925099;19660;
925100;28516;
925100;19660;
925101;28516;
925101;19660;
925102;17719;
925103;28516;
925103;19660;
925104;19116;
925105;28516;
925105;19660;
925106;17719;
925107;28516;
925107;19660;
925108;17719;
925108;19116;
925109;17719;
925109;19660;
925110;28516;
925110;17719;
925110;19660;
925111;17719;
926002;27558;
926002;13428;
926006;26865;
926006;13428;
926011;26865;
926011;27558;
926011;13428;
926013;25691;
926013;13428;
926016;27558;
926016;26865;
926016;13428;
926017;27558;
926017;26865;
926017;13428;
926018;27558;
926018;26865;
926018;13428;
926019;27558;
926019;26865;
926019;13428;
926021;27558;
926021;26865;
926021;13428;
926022;27558;
926022;26865;
926022;13428;
926026;27678;
926026;27558;
926026;13428;
926027;27678;
926027;13428;
926029;26865;
926029;27678;
926029;13428;
926030;26865;
926030;27678;
926030;13428;
926034;26865;
926034;27558;
926034;13428;
926035;26865;
926035;27558;
926035;13428;
926036;13428;
926037;26865;
926037;13428;
926042;26865;
926042;27558;
926044;26865;
926045;26865;
926051;27678;
926052;27678;
926061;8146;
926061;25691;
926061;27678;
926062;17525;
926063;6793;
926063;25691;
926064;25691;
926065;26865;
926065;13428;
926066;26865;
926066;13428;
926067;26865;
926067;27558;
926067;13428;
926068;27558;
926068;13428;
926069;6793;
926075;20660;
926075;8362;
926075;6793;
926075;9395;
926075;8146;
926075;7918;
926075;25040;
926075;25691;
926075;25265;
926075;10040;
926075;22417;
926075;13216;
926075;8212;
926075;17719;
926075;20657;
926075;13428;
926075;27523;
926075;17371;
926075;27558;
926075;28394;
926075;27678;
926076;20660;
926076;8146;
926076;25265;
926076;7918;
926076;25040;
926076;25691;
926076;13216;
926076;23072;
926076;8212;
926076;22417;
926076;20657;
926076;13428;
926076;6793;
926076;9395;
926076;28514;
929000;9453;
929000;20131;
929000;9458;
929001;11583;
929001;20131;
929001;9458;
929002;9453;
929002;9458;
929002;20131;
929004;9453;
929004;19342;
929006;9453;
929006;9458;
929006;20131;
929008;9453;
929010;9458;
929010;11583;
929010;9453;
929016;11583;
929016;9458;
929016;20131;
929016;9453;
929017;9453;
929017;20131;
929018;9453;
929018;9458;
929018;11583;
929018;19342;
929018;15127;
929018;20131;
929020;19342;
930000;11583;
930000;20131;
930001;11583;
930001;20131;
930003;11583;
930003;9458;
930006;11583;
930006;20131;
930007;11583;
930007;20131;
934006;20657;
934006;22417;
934006;20660;
934008;22417;
934008;23072;
934008;20657;
934011;22417;
934011;23072;
934011;20657;
934012;22417;
934012;23072;
934012;20657;
934013;13428;
934014;13428;
934014;20660;
934014;22417;
934014;20657;
934014;25040;
934017;23072;
934017;22417;
934017;20660;
934017;20657;
934022;23072;
934022;22417;
934022;20660;
934022;20657;
934026;22417;
934026;23072;
934026;20657;
934028;22417;
934028;23072;
934028;20657;
934031;22417;
934031;23072;
934031;20657;
934032;22417;
934032;23072;
934032;20657;
934034;22417;
934038;20660;
934041;23072;
934041;22417;
934041;20660;
934041;20657;
934043;20657;
934046;20657;
934046;20660;
934046;22417;
934057;23072;
934057;22417;
934057;20660;
934057;20657;
934058;23072;
934058;22417;
934058;20660;
934058;20657;
934061;20660;
934061;22417;
934061;13428;
934061;7918;
934062;13428;
934062;20660;
934062;22417;
934062;20657;
934062;8212;
934062;25040;
934062;7918;
934062;8146;
934062;27678;
934063;20660;
934063;22417;
934064;23072;
934065;23072;
934066;23072;
934066;22417;
934066;20660;
934066;20657;
934067;23072;
934068;22417;
934068;23072;
935008;21372;
935008;12719;
935008;16821;
